authorization_code,project_name,authorization_status
CPJ202403-011,松江海螺水泥,yes
CPJ202406-004,915项目弱电工程,yes
CPJ202504-040,学院路科技园东升园（G地块）项目,yes
CPJ202411-016,成都天府新区医院,yes
CPJ202409-007,成都五粮液集团新经济中心,yes
CPJ202411-011,创新药产业园项目A04C-01地块,yes
CPJ202412-001,大渡河公司大岗山项目,yes
CPJ202403-011,松江海螺水泥,yes
CPJ202406-004,915项目弱电工程,yes
CPJ202504-040,学院路科技园东升园（G地块）项目,yes
CPJ202409-007,成都五粮液集团新经济中心,yes
CPJ202411-011,创新药产业园项目A04C-01地块,yes
CPJ202412-001,大渡河公司大岗山项目,yes
CPJ202408-007,东部中心广深科技创新项目,yes
CPJ202501-012,复旦大学附属中山医院国家医学中心青浦新城院区一期,yes
CPJ202504-033,国电四川公司本部事务服务中心2025年生产运营综合楼,yes
CPJ202409-002,杭政储出【2023】34号杭州资本云城科创中心,yes
CPJ202503-021,杭政储出2023-161号临安区青山湖国际科创中心城市客厅,yes
CPJ202410-008,黄浦区广场社区 C010102 单元 064-01、065-01 地块（嘉里金陵）,yes
SPJ202411-004,嘉兴湖畔酒店,yes
CPJ202504-029,晋城职业技术学院迁建项目,yes
CPJ202504-041,京东2025-京东集团总部7号园区二期弱电工程,yes
CPJ202502-001,宁波中心丽思卡尔顿酒店,yes
CPJ202408-016,鹏峰项目弱电智能化工程,yes
CPJ202410-006,浦东浦兴社区Y000901单元02-01A地块商办-聚峰中心,yes
CPJ202312-001,浦东医院临港院区,yes
CPJ202406-012,青浦市民中心,yes
CPJ202403-004,衢州希尔顿,yes
CPJ202503-004,三亚海棠湾免税城三期,yes
CPJ202501-004,上海福瑞科技二期厂房,yes
CPJ202302-002,上海塘桥04-01地块,yes
CPJ202504-030,石景山区中关村科技园区石景山园北1区1605-650地块B23研发设计用地项目,yes
CPJ202411-006,温州鹿城广场,yes
CPJ202406-013,徐汇区华泾镇 XHPO-0001单元D5B-1地块,yes
CPJ202410-001,张江创新药基地 A04B-02 地块,yes
CPJ202410-005,张江创新药基地A04C-01地块,yes
CPJ202311-002,张江人工智能岛二期,yes
CPJ202404-004,张江中区单元41-12地块水泥厂,yes
CPJ202504-039,长三角一体化温州理工学院乐清产学研基地一期,yes
CPJ202407-003,浙江绍兴银行大厦,yes
CPJ202502-003,浙江省智能船舶创新中心,yes
CPJ202408-008,正佳食品新都生产基地项目,yes
CPJ202412-009,中交集团南京公司总部办公楼项目,yes
CPJ202503-029,中铁十一局汉阳总部智能化项目,yes
CPJ202407-006,重庆天玺壹号168亩,yes
CPJ202405-014,重庆芯联微电子,yes